k,AAE,ARE,RR,PR,F1,
264,1010.15,0.175543,0.57197,1,0.727711,
246,1053.21,0.178408,0.577236,1,0.731959,
234,1088.81,0.17723,0.57265,1,0.728261,
223,1130.95,0.181218,0.573991,1,0.729345,
208,1152.97,0.180605,0.591346,1,0.743202,
200,1154.7,0.181067,0.615,1,0.76161,
190,1187.84,0.181739,0.621053,1,0.766234,
187,1242.54,0.187156,0.59893,1,0.749164,
177,1253.88,0.186425,0.621469,1,0.766551,
171,1282.83,0.188791,0.625731,1,0.769784,
165,1298.99,0.18892,0.636364,1,0.777778,
158,1338,0.187226,0.626582,1,0.770428,
149,1365.7,0.192253,0.657718,1,0.793522,
143,1380.96,0.191363,0.671329,1,0.803347,
138,1407.49,0.191431,0.673913,1,0.805195,
135,1399.42,0.184235,0.674074,1,0.80531,
133,1413.79,0.185736,0.676692,1,0.807175,
129,1412.02,0.1853,0.697674,1,0.821918,
126,1433.02,0.185422,0.698413,1,0.82243,
124,1438.17,0.184063,0.701613,1,0.824645,
120,1461.33,0.184639,0.708333,1,0.829268,
118,1509.43,0.185131,0.686441,1,0.81407,
117,1541.9,0.187749,0.675214,1,0.806122,
116,1575.89,0.187373,0.655172,1,0.791667,
113,1607.35,0.188486,0.654867,1,0.791444,
111,1643.2,0.186367,0.63964,1,0.78022,
111,1691.99,0.183059,0.603604,1,0.752809,
109,1691.87,0.182915,0.614679,1,0.761364,
107,1706.68,0.182449,0.616822,1,0.763006,
106,1723.57,0.182514,0.613208,1,0.760234,
105,1745.09,0.1833,0.609524,1,0.757396,
104,1765.95,0.180156,0.596154,1,0.746988,


